# Title: January 2016 - December 2017 Contiguous U.S. County Average Temperature
# Units: Degrees Fahrenheit
# Missing: -99
# Note: Period of Record: 129 Years
ID,Name,State,Value,Anomaly (1901-2000 base period),Rank,1901-2000 Mean
IA-161,Sac County,Iowa,49.7,3.1,127,46.6
IA-163,Scott County,Iowa,51.9,3,128,48.9
IA-165,Shelby County,Iowa,51,3,128,48
IA-167,Sioux County,Iowa,48.7,2.8,127,45.9
IA-169,Story County,Iowa,50.8,3.1,128,47.7
IA-171,Tama County,Iowa,49.9,2.7,124,47.2
IA-173,Taylor County,Iowa,52.8,3.3,128,49.5
IA-175,Union County,Iowa,52.1,3,128,49
IA-177,Van Buren County,Iowa,52.5,1.6,116,50.8
IA-179,Wapello County,Iowa,52.5,2.5,124,50
IA-181,Warren County,Iowa,52.7,2.8,125,49.9
IA-183,Washington County,Iowa,51.7,2.5,126,49.2
IA-185,Wayne County,Iowa,52.4,2.4,123,50
IA-187,Webster County,Iowa,49.6,2.7,127,46.9
IA-189,Winnebago County,Iowa,47.1,2.6,120,44.6
IA-191,Winneshiek County,Iowa,47.3,3.1,126,44.3
IA-193,Woodbury County,Iowa,50.4,3.1,127,47.3
IA-195,Worth County,Iowa,47.2,2.8,125,44.4
IA-197,Wright County,Iowa,48.5,2.6,124,45.9
KS-001,Allen County,Kansas,58.3,2.3,125,56
KS-003,Anderson County,Kansas,57.7,2.4,126,55.3
KS-005,Atchison County,Kansas,56.1,3.1,128,53
KS-007,Barber County,Kansas,58.8,2.2,123,56.6
KS-009,Barton County,Kansas,56.3,2,121,54.3
KS-011,Bourbon County,Kansas,59,2.9,128,56.1
KS-013,Brown County,Kansas,55.4,3.2,129,52.2
KS-015,Butler County,Kansas,58.5,2.8,127,55.6
KS-017,Chase County,Kansas,57.6,3,129,54.6
KS-019,Chautauqua County,Kansas,59.4,2,123,57.4
KS-021,Cherokee County,Kansas,59.9,2.4,125,57.5
KS-023,Cheyenne County,Kansas,53.4,2.7,126,50.7
KS-025,Clark County,Kansas,58.6,2.1,122,56.5
KS-027,Clay County,Kansas,56.9,3.3,129,53.6
KS-029,Cloud County,Kansas,56.2,3,127,53.2
KS-031,Coffey County,Kansas,58.1,3,128,55
KS-033,Comanche County,Kansas,58.5,2.1,122,56.4
KS-035,Cowley County,Kansas,59.2,2.4,124,56.8
KS-037,Crawford County,Kansas,59.4,2.7,126,56.7
KS-039,Decatur County,Kansas,54,2.6,126,51.3
KS-041,Dickinson County,Kansas,57.9,3.6,129,54.3
KS-043,Doniphan County,Kansas,55.7,2.8,126,53
KS-045,Douglas County,Kansas,57.4,3,127,54.4
KS-047,Edwards County,Kansas,56.8,2,122,54.8
KS-049,Elk County,Kansas,58.8,2.4,124,56.4
KS-051,Ellis County,Kansas,56.1,2.6,125,53.5
KS-053,Ellsworth County,Kansas,57.5,3.1,127,54.4
KS-055,Finney County,Kansas,56.3,2.9,128,53.4
KS-057,Ford County,Kansas,57.1,2.3,122,54.7
KS-059,Franklin County,Kansas,57.7,2.9,128,54.8
KS-061,Geary County,Kansas,57.4,3.4,129,54
KS-063,Gove County,Kansas,55.2,2.6,127,52.7
KS-065,Graham County,Kansas,55.4,2.7,127,52.7
KS-067,Grant County,Kansas,56.6,2.2,123,54.4
KS-069,Gray County,Kansas,56.8,2.7,128,54.2
KS-071,Greeley County,Kansas,54.2,2.4,124,51.8
KS-073,Greenwood County,Kansas,58.3,2.8,128,55.5
KS-075,Hamilton County,Kansas,55.7,2.3,124,53.5
KS-077,Harper County,Kansas,59.5,2.4,125,57.1
KS-079,Harvey County,Kansas,58.5,3.1,128,55.4
KS-081,Haskell County,Kansas,56.9,2.6,126,54.3
KS-083,Hodgeman County,Kansas,56.8,2.3,123,54.5
KS-085,Jackson County,Kansas,56.1,3.2,129,52.9
KS-087,Jefferson County,Kansas,56.7,3.1,128,53.6
KS-089,Jewell County,Kansas,54.9,2.9,127,52
KS-091,Johnson County,Kansas,57,2.7,127,54.2
KS-093,Kearny County,Kansas,56.2,2.8,128,53.4
KS-095,Kingman County,Kansas,58.4,2.3,123,56.1
KS-097,Kiowa County,Kansas,57.2,1.9,119,55.4
KS-099,Labette County,Kansas,59.6,2.1,124,57.6
KS-101,Lane County,Kansas,55.6,2.7,126,52.9
KS-103,Leavenworth County,Kansas,56.9,3,127,53.9
KS-105,Lincoln County,Kansas,57.1,3.3,128,53.8
KS-107,Linn County,Kansas,58.1,2.6,128,55.5
KS-109,Logan County,Kansas,54.9,2.6,126,52.2
KS-111,Lyon County,Kansas,57.5,3.1,128,54.4
KS-113,McPherson County,Kansas,58.2,3.5,129,54.7
KS-115,Marion County,Kansas,58.2,3.6,129,54.6
KS-117,Marshall County,Kansas,55.5,3.2,129,52.3
KS-119,Meade County,Kansas,58.2,2.3,125,55.9
KS-121,Miami County,Kansas,57.3,2.5,126,54.7
KS-123,Mitchell County,Kansas,55.9,2.8,126,53.1
KS-125,Montgomery County,Kansas,59.8,2.1,124,57.8
KS-127,Morris County,Kansas,57.3,3.5,129,53.8
KS-129,Morton County,Kansas,57,2,124,55
KS-131,Nemaha County,Kansas,55,3,129,52
KS-133,Neosho County,Kansas,59,2.2,124,56.8
KS-135,Ness County,Kansas,56.2,2.3,124,53.9
KS-137,Norton County,Kansas,54.2,2.6,126,51.6
KS-139,Osage County,Kansas,57.9,3.6,128,54.3
KS-141,Osborne County,Kansas,55.7,2.5,125,53.1
KS-143,Ottawa County,Kansas,57.5,3.6,129,53.9
KS-145,Pawnee County,Kansas,56.5,2.1,122,54.4
KS-147,Phillips County,Kansas,54.6,2.4,125,52.2
KS-149,Pottawatomie County,Kansas,56.3,3.1,129,53.2
KS-151,Pratt County,Kansas,57.4,2,122,55.4
KS-153,Rawlins County,Kansas,53.7,2.6,126,51.1
KS-155,Reno County,Kansas,58,2.5,124,55.5
KS-157,Republic County,Kansas,55.1,3.1,127,52
KS-159,Rice County,Kansas,57.3,2.5,125,54.8
KS-161,Riley County,Kansas,56.9,3.3,129,53.6
KS-163,Rooks County,Kansas,55.6,2.5,126,53.1
KS-165,Rush County,Kansas,56.3,2.3,123,54
KS-167,Russell County,Kansas,56.7,2.8,126,53.9
KS-169,Saline County,Kansas,58.6,4.1,129,54.5
KS-171,Scott County,Kansas,55.6,3,129,52.6
KS-173,Sedgwick County,Kansas,59.2,2.9,126,56.3
KS-175,Seward County,Kansas,57.7,2.3,124,55.4
KS-177,Shawnee County,Kansas,57.3,3.4,128,54
KS-179,Sheridan County,Kansas,54.7,2.8,127,51.9
KS-181,Sherman County,Kansas,53.5,2.9,127,50.6
KS-183,Smith County,Kansas,54.5,2.3,124,52.2
KS-185,Stafford County,Kansas,56.9,2,123,54.8
KS-187,Stanton County,Kansas,56.3,1.9,123,54.4
KS-189,Stevens County,Kansas,57.2,2.1,124,55.1
KS-191,Sumner County,Kansas,59.9,2.8,125,57.2
KS-193,Thomas County,Kansas,53.9,2.7,126,51.2
KS-195,Trego County,Kansas,55.7,2.5,125,53.2
KS-197,Wabaunsee County,Kansas,56.9,3.2,128,53.7
KS-199,Wallace County,Kansas,54.1,2.7,126,51.4
KS-201,Washington County,Kansas,55.6,3.3,129,52.3
KS-203,Wichita County,Kansas,55.1,2.8,128,52.3
KS-205,Wilson County,Kansas,59.3,2.4,125,56.9
KS-207,Woodson County,Kansas,58.7,2.9,126,55.9
KS-209,Wyandotte County,Kansas,57.2,3.1,128,54.1
KY-001,Adair County,Kentucky,58.1,2.5,126,55.6
KY-003,Allen County,Kentucky,59.5,2.3,126,57.2
KY-005,Anderson County,Kentucky,57.5,2.9,128,54.6
KY-007,Ballard County,Kentucky,59.9,2.7,128,57.2
KY-009,Barren County,Kentucky,59.2,2.4,127,56.8
KY-011,Bath County,Kentucky,56.2,1.8,122,54.4
KY-013,Bell County,Kentucky,56,1.3,119,54.6
KY-015,Boone County,Kentucky,56.3,2.9,128,53.4
KY-017,Bourbon County,Kentucky,56.6,2.7,128,53.9
KY-019,Boyd County,Kentucky,56.9,2.8,128,54.1
KY-021,Boyle County,Kentucky,57,2.3,126,54.7
KY-023,Bracken County,Kentucky,56,2.5,127,53.4
KY-025,Breathitt County,Kentucky,57.6,2,126,55.6
KY-027,Breckinridge County,Kentucky,57.8,2.4,127,55.4
KY-029,Bullitt County,Kentucky,58.2,2.7,128,55.4
KY-031,Butler County,Kentucky,59.5,2.8,128,56.7
KY-033,Caldwell County,Kentucky,59.3,2.1,125,57.1
KY-035,Calloway County,Kentucky,60.2,2.4,127,57.9
KY-037,Campbell County,Kentucky,56.2,2.5,127,53.6
KY-039,Carlisle County,Kentucky,60.1,2.6,128,57.5
KY-041,Carroll County,Kentucky,57.6,3.4,128,54.2
KY-043,Carter County,Kentucky,55.9,2.3,125,53.6
KY-045,Casey County,Kentucky,57.1,2.3,125,54.8
KY-047,Christian County,Kentucky,59.6,2.2,127,57.3
KY-049,Clark County,Kentucky,57,2.5,127,54.4
KY-051,Clay County,Kentucky,57.4,2,126,55.3
KY-053,Clinton County,Kentucky,58.7,2.8,126,55.9
KY-055,Crittenden County,Kentucky,59.1,2.3,126,56.8
KY-057,Cumberland County,Kentucky,59.2,2.6,128,56.6
KY-059,Daviess County,Kentucky,58.3,2.1,125,56.2
KY-061,Edmonson County,Kentucky,59.3,2.8,128,56.5
KY-063,Elliott County,Kentucky,56,2,124,54
KY-065,Estill County,Kentucky,57.4,2,125,55.4
KY-067,Fayette County,Kentucky,57.1,3,128,54.1
KY-069,Fleming County,Kentucky,55.8,1.9,123,53.9
KY-071,Floyd County,Kentucky,57.8,2.1,127,55.7
KY-073,Franklin County,Kentucky,57.6,3.1,128,54.5
KY-075,Fulton County,Kentucky,60.2,2,125,58.2
KY-077,Gallatin County,Kentucky,57.4,3.4,128,54
KY-079,Garrard County,Kentucky,57.3,2.3,126,55
KY-081,Grant County,Kentucky,56.8,3.1,128,53.7
KY-083,Graves County,Kentucky,60.1,2.5,127,57.6
KY-085,Grayson County,Kentucky,58.5,2.9,128,55.7
KY-087,Green County,Kentucky,58.3,2.3,128,56
KY-089,Greenup County,Kentucky,56.2,2.7,128,53.5
KY-091,Hancock County,Kentucky,57.5,1.6,122,55.9
KY-093,Hardin County,Kentucky,57.8,2.6,128,55.2
KY-095,Harlan County,Kentucky,54.8,1.3,118,53.5
KY-097,Harrison County,Kentucky,56.6,2.8,128,53.9
KY-099,Hart County,Kentucky,58.6,2.6,128,56.1
KY-101,Henderson County,Kentucky,58.6,2.2,126,56.5
KY-103,Henry County,Kentucky,57.3,3.2,128,54.1
KY-105,Hickman County,Kentucky,60.1,2.3,127,57.8
KY-107,Hopkins County,Kentucky,59.5,2.5,127,57.1
KY-109,Jackson County,Kentucky,56.7,2,126,54.7
KY-111,Jefferson County,Kentucky,58.3,3,128,55.3
KY-113,Jessamine County,Kentucky,57.4,2.8,127,54.6
KY-115,Johnson County,Kentucky,57.2,2.3,127,54.9
KY-117,Kenton County,Kentucky,56.1,2.7,127,53.4
KY-119,Knott County,Kentucky,57,1.9,126,55
KY-121,Knox County,Kentucky,57.2,1.9,125,55.3
KY-123,Larue County,Kentucky,57.7,2.3,128,55.4
KY-125,Laurel County,Kentucky,57.3,2.2,127,55.1
KY-127,Lawrence County,Kentucky,57.1,2.6,128,54.5
KY-129,Lee County,Kentucky,57.4,1.8,126,55.7
KY-131,Leslie County,Kentucky,56.7,1.7,123,54.9
KY-133,Letcher County,Kentucky,55.9,1.6,124,54.3
KY-135,Lewis County,Kentucky,55.6,2.2,125,53.4
KY-137,Lincoln County,Kentucky,56.8,2.2,126,54.6
KY-139,Livingston County,Kentucky,59.6,2.5,128,57.1
KY-141,Logan County,Kentucky,59.7,2.4,128,57.2
KY-143,Lyon County,Kentucky,59.7,2.3,125,57.5
KY-145,McCracken County,Kentucky,60.1,2.9,128,57.2
KY-147,McCreary County,Kentucky,57.5,2.3,127,55.1
KY-149,McLean County,Kentucky,59.2,2.6,128,56.6
KY-151,Madison County,Kentucky,57.4,2.3,127,55.1
KY-153,Magoffin County,Kentucky,57.1,2.1,127,55
KY-155,Marion County,Kentucky,57.5,2.3,126,55.2
KY-157,Marshall County,Kentucky,60.3,2.6,128,57.7
KY-159,Martin County,Kentucky,57.8,2.4,128,55.4
KY-161,Mason County,Kentucky,55.7,2.4,125,53.4
KY-163,Meade County,Kentucky,57.5,2.4,127,55.1
KY-165,Menifee County,Kentucky,56.2,1.6,122,54.5
KY-167,Mercer County,Kentucky,57.4,2.7,127,54.7
KY-169,Metcalfe County,Kentucky,58.4,2.3,128,56
KY-171,Monroe County,Kentucky,58.9,2.2,127,56.7
KY-173,Montgomery County,Kentucky,56.5,2.3,125,54.2
KY-175,Morgan County,Kentucky,56.4,1.8,122,54.6
KY-177,Muhlenberg County,Kentucky,59.5,2.6,128,57
KY-179,Nelson County,Kentucky,57.8,2.5,128,55.3
KY-181,Nicholas County,Kentucky,56.2,2.4,125,53.8
KY-183,Ohio County,Kentucky,59,2.8,127,56.2
KY-185,Oldham County,Kentucky,57.3,3,129,54.3
KY-187,Owen County,Kentucky,57.3,3.3,128,54
KY-189,Owsley County,Kentucky,57.6,1.9,126,55.7
KY-191,Pendleton County,Kentucky,56.5,2.7,128,53.8
KY-193,Perry County,Kentucky,57.1,1.8,125,55.3
KY-195,Pike County,Kentucky,57.7,2.2,127,55.5
KY-197,Powell County,Kentucky,57,1.9,125,55.1
KY-199,Pulaski County,Kentucky,57.6,2.4,125,55.2
KY-201,Robertson County,Kentucky,56.2,2.5,128,53.6
KY-203,Rockcastle County,Kentucky,56.9,2.1,127,54.8
KY-205,Rowan County,Kentucky,55.5,1.4,118,54.1
KY-207,Russell County,Kentucky,58.3,2.7,125,55.6
KY-209,Scott County,Kentucky,57,3.1,128,54
KY-211,Shelby County,Kentucky,57.2,2.9,128,54.3
KY-213,Simpson County,Kentucky,59.7,2.4,127,57.2
KY-215,Spencer County,Kentucky,57.6,2.7,128,54.9
KY-217,Taylor County,Kentucky,57.6,2.2,128,55.4
KY-219,Todd County,Kentucky,59.6,2.4,128,57.2
KY-221,Trigg County,Kentucky,59.8,2.2,126,57.6
KY-223,Trimble County,Kentucky,57.3,3.2,128,54
KY-225,Union County,Kentucky,58.8,2.2,126,56.6
KY-227,Warren County,Kentucky,59.9,2.7,128,57.2
KY-229,Washington County,Kentucky,57.4,2.4,127,54.9
KY-231,Wayne County,Kentucky,58.1,2.7,125,55.4
KY-233,Webster County,Kentucky,59.1,2.3,126,56.8
KY-235,Whitley County,Kentucky,57.4,1.9,126,55.4
KY-237,Wolfe County,Kentucky,56.8,1.8,123,55.1
KY-239,Woodford County,Kentucky,57.5,3.1,128,54.4
LA-001,Acadia Parish,Louisiana,69.8,1.8,127,68
LA-003,Allen Parish,Louisiana,68.6,1.4,123,67.2
LA-005,Ascension Parish,Louisiana,69.8,2.2,126,67.6
LA-007,Assumption Parish,Louisiana,70.7,2.7,128,68
LA-009,Avoyelles Parish,Louisiana,68.7,2,128,66.7
LA-011,Beauregard Parish,Louisiana,68.9,2.1,127,66.7
LA-013,Bienville Parish,Louisiana,67,3,128,64
LA-015,Bossier Parish,Louisiana,67.1,2.8,128,64.3
LA-017,Caddo Parish,Louisiana,67.4,2.7,128,64.7
LA-019,Calcasieu Parish,Louisiana,70.1,2.4,128,67.7
LA-021,Caldwell Parish,Louisiana,66.9,2.1,127,64.8
LA-023,Cameron Parish,Louisiana,70.7,2.3,128,68.4
LA-025,Catahoula Parish,Louisiana,67.6,1.9,127,65.7
LA-027,Claiborne Parish,Louisiana,65.8,2.3,128,63.5
LA-029,Concordia Parish,Louisiana,67.8,1.8,127,66
LA-031,De Soto Parish,Louisiana,67.4,2.5,128,64.9
LA-033,East Baton Rouge Parish,Louisiana,69.1,2,125,67.1
LA-035,East Carroll Parish,Louisiana,67.2,3.1,129,64.1
LA-037,East Feliciana Parish,Louisiana,68.2,2,125,66.3
LA-039,Evangeline Parish,Louisiana,69,1.8,127,67.2
LA-041,Franklin Parish,Louisiana,67.5,2.4,128,65
LA-043,Grant Parish,Louisiana,67.7,2.1,128,65.6
LA-045,Iberia Parish,Louisiana,70.3,2.2,128,68.1
LA-047,Iberville Parish,Louisiana,69.7,2.1,127,67.6
LA-049,Jackson Parish,Louisiana,66.7,2.8,128,63.9
LA-051,Jefferson Parish,Louisiana,70.8,2.1,127,68.7
LA-053,Jefferson Davis Parish,Louisiana,69.7,1.5,126,68.2
LA-055,Lafayette Parish,Louisiana,70.1,2.3,128,67.9
LA-057,Lafourche Parish,Louisiana,71.2,2.4,128,68.8
LA-059,La Salle Parish,Louisiana,67.5,1.9,128,65.6
LA-061,Lincoln Parish,Louisiana,66.3,2.8,128,63.6
LA-063,Livingston Parish,Louisiana,69.2,2.1,126,67.1
LA-065,Madison Parish,Louisiana,68,3.4,129,64.7
LA-067,Morehouse Parish,Louisiana,66.3,2.5,128,63.8
LA-069,Natchitoches Parish,Louisiana,68,2.6,128,65.4
LA-071,Orleans Parish,Louisiana,70.4,2.3,127,68.1
LA-073,Ouachita Parish,Louisiana,66.3,2.1,126,64.2
LA-075,Plaquemines Parish,Louisiana,71.1,2.1,126,68.9
LA-077,Pointe Coupee Parish,Louisiana,69,1.9,126,67.1
LA-079,Rapides Parish,Louisiana,68.5,2.2,128,66.3
LA-081,Red River Parish,Louisiana,67.6,2.9,128,64.7
LA-083,Richland Parish,Louisiana,67,2.4,128,64.6
LA-085,Sabine Parish,Louisiana,67.8,2.6,128,65.1
LA-087,St. Bernard Parish,Louisiana,70.4,2.2,127,68.2
LA-089,St. Charles Parish,Louisiana,70.7,2.3,126,68.4
LA-091,St. Helena Parish,Louisiana,68.4,2.4,128,66
LA-093,St. James Parish,Louisiana,70.4,2.5,128,67.9
LA-095,St. John the Baptist Parish,Louisiana,70.3,2.4,128,67.9
LA-097,St. Landry Parish,Louisiana,69.4,2.1,127,67.3
LA-099,St. Martin Parish,Louisiana,70.1,2.3,128,67.8
LA-101,St. Mary Parish,Louisiana,70.9,2.6,128,68.2
LA-103,St. Tammany Parish,Louisiana,69.3,2.5,127,66.8
LA-105,Tangipahoa Parish,Louisiana,68.9,2.4,128,66.4
LA-107,Tensas Parish,Louisiana,67.6,2.3,128,65.3
LA-109,Terrebonne Parish,Louisiana,71.9,3,128,68.9
LA-111,Union Parish,Louisiana,66.1,2.5,128,63.6
LA-113,Vermilion Parish,Louisiana,70.7,2.3,128,68.4
LA-115,Vernon Parish,Louisiana,68.2,2.5,127,65.8
LA-117,Washington Parish,Louisiana,68.2,2.4,127,65.9
LA-119,Webster Parish,Louisiana,66.6,2.5,128,64
LA-121,West Baton Rouge Parish,Louisiana,69.3,1.9,125,67.4
LA-123,West Carroll Parish,Louisiana,66.8,2.8,128,64
LA-125,West Feliciana Parish,Louisiana,68.4,1.8,125,66.6
LA-127,Winn Parish,Louisiana,67.3,2.5,128,64.8
ME-001,Androscoggin County,Maine,46.2,3.1,122,43.1
ME-003,Aroostook County,Maine,40.2,2.5,119,37.7
ME-005,Cumberland County,Maine,46.6,2.8,121,43.9
ME-007,Franklin County,Maine,41.2,2.8,120,38.4
ME-009,Hancock County,Maine,45.7,2.7,122,43
ME-011,Kennebec County,Maine,46,3,122,42.9
ME-013,Knox County,Maine,45.9,2.6,122,43.3
ME-015,Lincoln County,Maine,46.5,3,122,43.6
ME-017,Oxford County,Maine,43.3,2.9,121,40.4
ME-019,Penobscot County,Maine,43.8,2.7,120,41.1
ME-021,Piscataquis County,Maine,41,2.6,120,38.3
ME-023,Sagadahoc County,Maine,47.1,3.2,123,43.9
ME-025,Somerset County,Maine,41.2,2.6,120,38.6
ME-027,Waldo County,Maine,45.5,2.8,122,42.7
ME-029,Washington County,Maine,45.1,3.1,122,42.1
ME-031,York County,Maine,47.1,2.5,120,44.7
MD-001,Allegany County,Maryland,53.6,2.3,124,51.3
MD-003,Anne Arundel County,Maryland,58.2,2.9,123,55.4
MD-005,Baltimore County,Maryland,55.9,2.9,122,53
MD-009,Calvert County,Maryland,58.1,2.5,122,55.6
MD-011,Caroline County,Maryland,57.7,3.1,125,54.6
MD-013,Carroll County,Maryland,54.6,2.8,124,51.8
MD-015,Cecil County,Maryland,55.9,2.6,120,53.3
MD-017,Charles County,Maryland,58.9,3.2,126,55.7
MD-019,Dorchester County,Maryland,58.5,2.9,122,55.6
MD-021,Frederick County,Maryland,55.2,2.8,126,52.4
MD-023,Garrett County,Maryland,49.8,2.6,126,47.2
MD-025,Harford County,Maryland,55.5,2.3,117,53.3
MD-027,Howard County,Maryland,55.9,3,123,52.9
MD-029,Kent County,Maryland,57.2,2.6,124,54.6
MD-031,Montgomery County,Maryland,56.3,2.9,124,53.4
MD-033,Prince George&#039;s County,Maryland,57.9,2.9,125,55
MD-035,Queen Anne&#039;s County,Maryland,57.5,2.8,125,54.7
MD-037,St. Mary&#039;s County,Maryland,58.5,2.5,122,56
MD-039,Somerset County,Maryland,59.3,3.2,124,56.1
MD-041,Talbot County,Maryland,58.2,2.7,124,55.5
MD-043,Washington County,Maryland,54.9,2.8,126,52.1
MD-045,Wicomico County,Maryland,58.6,3.2,123,55.4
MD-047,Worcester County,Maryland,58.7,3.1,123,55.6
MD-510,Baltimore City,Maryland,57.9,3.1,123,54.8
MD-511,Washington, D.C.,District of Columbia,58.1,3,124,55.1
MA-001,Barnstable County,Massachusetts,52.2,3.3,124,48.9
MA-003,Berkshire County,Massachusetts,47,2.9,121,44.1
MA-005,Bristol County,Massachusetts,52.1,3,121,49
MA-007,Dukes County,Massachusetts,52.5,3.1,122,49.4
MA-009,Essex County,Massachusetts,50.3,2.8,121,47.5
MA-011,Franklin County,Massachusetts,48.4,3.1,122,45.3
MA-013,Hampden County,Massachusetts,49.5,2.7,120,46.9
MA-015,Hampshire County,Massachusetts,49,2.6,120,46.3
MA-017,Middlesex County,Massachusetts,50.6,3,121,47.6
MA-019,Nantucket County,Massachusetts,52,3.4,123,48.6
MA-021,Norfolk County,Massachusetts,51.6,3.3,124,48.3
MA-023,Plymouth County,Massachusetts,52.1,3.2,123,48.9
MA-025,Suffolk County,Massachusetts,52.1,3.5,124,48.5
MA-027,Worcester County,Massachusetts,49.4,3.2,124,46.2
MI-001,Alcona County,Michigan,46.1,3.7,126,42.4
MI-003,Alger County,Michigan,42.6,2.5,121,40.1
MI-005,Allegan County,Michigan,50.3,2.6,126,47.7
MI-007,Alpena County,Michigan,46.4,4.1,128,42.3
MI-009,Antrim County,Michigan,46.5,3.8,127,42.7
MI-011,Arenac County,Michigan,48.1,3.7,126,44.4
MI-013,Baraga County,Michigan,40.8,2.6,116,38.2
MI-015,Barry County,Michigan,49.8,2.9,127,46.9
MI-017,Bay County,Michigan,49.4,3.8,126,45.6
MI-019,Benzie County,Michigan,47,4.2,126,42.8
MI-021,Berrien County,Michigan,51.2,2.7,125,48.5
MI-023,Branch County,Michigan,50.6,3.2,127,47.5
MI-025,Calhoun County,Michigan,50.2,3.2,127,47
MI-027,Cass County,Michigan,50.7,2.9,125,47.8
MI-029,Charlevoix County,Michigan,46.3,3.5,126,42.8
MI-031,Cheboygan County,Michigan,45.3,3.3,126,41.9
MI-033,Chippewa County,Michigan,42.9,3.2,123,39.7
MI-035,Clare County,Michigan,47.2,3.9,128,43.4
MI-037,Clinton County,Michigan,50,3.4,128,46.6
MI-039,Crawford County,Michigan,45.5,3.7,127,41.9
MI-041,Delta County,Michigan,43.9,2.9,123,41
MI-043,Dickinson County,Michigan,42.6,3.2,122,39.4
MI-045,Eaton County,Michigan,49.9,3.2,128,46.7
MI-047,Emmet County,Michigan,45.5,3.6,126,41.9
MI-049,Genesee County,Michigan,49.9,3.6,127,46.3
MI-051,Gladwin County,Michigan,48.2,3.9,127,44.3
MI-053,Gogebic County,Michigan,41.2,2.8,120,38.4
MI-055,Grand Traverse County,Michigan,47.1,4.3,128,42.7
MI-057,Gratiot County,Michigan,49.7,3.7,128,46
MI-059,Hillsdale County,Michigan,50.2,3.2,128,47
MI-061,Houghton County,Michigan,42.2,3,122,39.2
MI-063,Huron County,Michigan,47.9,3.2,123,44.7
MI-065,Ingham County,Michigan,50,3.5,128,46.4
MI-067,Ionia County,Michigan,49.7,3.3,127,46.4
MI-069,Iosco County,Michigan,46.9,3.5,126,43.4
MI-071,Iron County,Michigan,40.9,3,121,37.9
MI-073,Isabella County,Michigan,48.6,3.8,127,44.8
MI-075,Jackson County,Michigan,50.1,3.5,128,46.6
MI-077,Kalamazoo County,Michigan,50.4,2.9,126,47.5
MI-079,Kalkaska County,Michigan,46.1,3.9,127,42.2
MI-081,Kent County,Michigan,49.5,3.2,126,46.4
MI-083,Keweenaw County,Michigan,41.6,2.9,119,38.8
MI-085,Lake County,Michigan,47.3,3.3,126,44.1
MI-087,Lapeer County,Michigan,49.5,3.5,125,46
MI-089,Leelanau County,Michigan,47,4.1,126,42.8
MI-091,Lenawee County,Michigan,51,3.3,128,47.7
MI-093,Livingston County,Michigan,49.8,3.8,128,46.1
MI-095,Luce County,Michigan,41.9,2.5,119,39.4
MI-097,Mackinac County,Michigan,43.2,2.9,122,40.3
MI-099,Macomb County,Michigan,51.2,3.7,126,47.5
MI-101,Manistee County,Michigan,47.3,3.7,126,43.6
MI-103,Marquette County,Michigan,41.5,2.6,118,38.8
MI-105,Mason County,Michigan,47.8,3.3,126,44.5
MI-107,Mecosta County,Michigan,47.5,3.3,127,44.3
MI-109,Menominee County,Michigan,44.4,3,123,41.4
MI-111,Midland County,Michigan,49.4,3.8,127,45.6
MI-113,Missaukee County,Michigan,46.2,3.9,128,42.3
MI-115,Monroe County,Michigan,52.1,3.4,127,48.7
MI-117,Montcalm County,Michigan,48.8,3.6,128,45.2
MI-119,Montmorency County,Michigan,45.4,3.4,125,42
MI-121,Muskegon County,Michigan,49.3,3.2,125,46.1
MI-123,Newaygo County,Michigan,48.1,3.1,126,45
MI-125,Oakland County,Michigan,50.1,3.6,127,46.5
MI-127,Oceana County,Michigan,48.3,3.4,127,44.9
MI-129,Ogemaw County,Michigan,46.5,3.7,126,42.8
MI-131,Ontonagon County,Michigan,42.1,3,121,39.1
MI-133,Osceola County,Michigan,46.5,3.5,127,43
MI-135,Oscoda County,Michigan,45.6,3.6,126,42
MI-137,Otsego County,Michigan,44.7,3.3,126,41.4
MI-139,Ottawa County,Michigan,49.9,2.8,125,47.2
MI-141,Presque Isle County,Michigan,45.6,3.5,126,42.1
MI-143,Roscommon County,Michigan,46.3,3.9,126,42.4
MI-145,Saginaw County,Michigan,49.9,3.7,127,46.2
MI-147,St. Clair County,Michigan,50.6,3.6,127,47
MI-149,St. Joseph County,Michigan,50.8,2.9,127,47.9
MI-151,Sanilac County,Michigan,48.8,3.3,126,45.5
MI-153,Schoolcraft County,Michigan,43.3,2.6,121,40.7
MI-155,Shiawassee County,Michigan,49.9,3.5,127,46.4
MI-157,Tuscola County,Michigan,49.1,3.4,125,45.7
MI-159,Van Buren County,Michigan,50.8,2.9,126,47.9
MI-161,Washtenaw County,Michigan,50.3,3.6,128,46.8
MI-163,Wayne County,Michigan,51.6,3.5,126,48.1
MI-165,Wexford County,Michigan,46.4,3.9,128,42.5
MN-001,Aitkin County,Minnesota,42.1,3.5,122,38.6
MN-003,Anoka County,Minnesota,46.6,3.5,124,43.1
MN-005,Becker County,Minnesota,42.3,3.5,124,38.8
MN-007,Beltrami County,Minnesota,41.1,3.9,125,37.2
MN-009,Benton County,Minnesota,44.8,3.6,123,41.3
MN-011,Big Stone County,Minnesota,46.1,3.7,125,42.4
MN-013,Blue Earth County,Minnesota,47.7,3,126,44.6
MN-015,Brown County,Minnesota,47.6,3.2,126,44.4
MN-017,Carlton County,Minnesota,41.4,3.1,120,38.3
MN-019,Carver County,Minnesota,47.1,3.5,124,43.6
